fips,r_670,r_680,r_690,r_700,r_710,r_max,TO5_beta,TO7_beta,TO10_beta
5093,0.06322218850052,0.0742238807529134,0.0899257849822809,0.077925220143478,0.0544072705852529,0.0899257849822809,0.42,0.39,0.37
5095,0.0987738380198863,0.100813287523385,0.104629084863362,0.0996427552736284,0.0654877963654711,0.104629084863362,0.46,0.43,0.4
5097,0.0625930242160447,0.0647767556708847,0.0828133901087247,0.102851110214771,0.0793625809832078,0.102851110214771,0.46,0.42,0.4
5099,0.0744953332709884,0.0791643512729099,0.0800860278896919,0.0706188752127188,0.0430525611828557,0.0800860278896919,0.4,0.37,0.35
5101,0.0316441184664057,0.0325421031599141,0.0503202599997877,0.0760888206633929,0.0621281662934868,0.0760888206633929,0.39,0.36,0.34
5103,0.0632289412279291,0.0630179953780664,0.0619219581771578,0.0498369431418415,0.0302955440457525,0.0632289412279291,0.37,0.34,0.32
5105,0.0625469772813845,0.0738220936254237,0.0919745482116575,0.0913537696905479,0.0874043626954313,0.0919745482116575,0.43,0.4,0.38
5107,0.0832052712712126,0.0839648648268302,0.0838859997406718,0.0693664851521214,0.0406163404361844,0.0839648648268302,0.41,0.38,0.36
5109,0.076548497008733,0.0835127162172793,0.0970366620895523,0.111911546671242,0.0800866144917138,0.111911546671242,0.48,0.45,0.42
5111,0.0594206298721318,0.0683334389480636,0.0807697912767824,0.0634568437456542,0.0248952592113081,0.0807697912767824,0.4,0.37,0.35
5113,0.0806751181027464,0.0839148174056742,0.0851018102457486,0.0823080890338698,0.0668841993439866,0.0851018102457486,0.41,0.38,0.36
5115,0.0672487881522598,0.0759789133000385,0.0856963601918301,0.0910015113052915,0.0768048930883372,0.0910015113052915,0.43,0.4,0.37
5117,0.0828672025370101,0.0813118823074028,0.0858809082417177,0.0882637852522706,0.0720458647647489,0.0882637852522706,0.42,0.39,0.37
5119,0.0942508982846246,0.103130084812424,0.106962801121322,0.0886936905769949,0.0437484308303098,0.106962801121322,0.47,0.43,0.41
5121,0.0352193160772928,0.034071688227072,0.0379240914887893,0.0358124855770262,0.0243785632916553,0.0379240914887893,0.32,0.29,0.27
5123,0.0829701916520075,0.0835760696196797,0.0828964410475515,0.0679006395939491,0.0290665298921644,0.0835760696196797,0.41,0.38,0.36
5125,0.0772384327517924,0.0813868276754584,0.0848804171755522,0.0770561157134079,0.0464379531858248,0.0848804171755522,0.41,0.38,0.36
5127,0.0457949963112285,0.0473493494970695,0.0486336424492764,0.0519758678731667,0.0539231313272785,0.0539231313272785,0.35,0.32,0.3
5129,0.0518682180213946,0.0577604612981452,0.0710201139108947,0.0790318068516988,0.0684512806683532,0.0790318068516988,0.4,0.37,0.35
5131,0.0590895313301628,0.0667339074983449,0.0791937575447687,0.0862677491669944,0.0650171085636744,0.0862677491669944,0.41,0.38,0.36
5133,0.0661796235267969,0.0834345444565343,0.11095760534909,0.124800579206017,0.105505707494603,0.124800579206017,0.51,0.48,0.45
5135,0.0353386150556089,0.0490361161988013,0.0589409972886374,0.0567884873675104,0.0502544892444441,0.0589409972886374,0.36,0.33,0.31
5137,0.0290892533952205,0.0421703978439571,0.0535140336612084,0.0506373977081656,0.0349320162345718,0.0535140336612084,0.35,0.32,0.3
5139,0.0562970923839672,0.0597746565883606,0.061474688873206,0.0487137473065298,0.0210848655796198,0.061474688873206,0.36,0.33,0.31
5141,0.0489696240195999,0.0536725255462723,0.0680923561950645,0.0784018054734541,0.0660982550016113,0.0784018054734541,0.4,0.37,0.35
5143,0.0739079151142097,0.0823266366189779,0.089851584184866,0.0867229950497782,0.0617680550156616,0.089851584184866,0.42,0.39,0.37
5145,0.0581211037327649,0.0668545683639771,0.0770729946328105,0.0780036596593479,0.0563502718885708,0.0780036596593479,0.4,0.37,0.35
5147,0.0779639395665713,0.0877953105335269,0.0954480096735962,0.104282620710999,0.100289654349942,0.104282620710999,0.46,0.43,0.4
5149,0.0709609244892631,0.0787510341167841,0.0886565006155456,0.0943787901444255,0.083700944202515,0.0943787901444255,0.43,0.4,0.38
6001,0.0919553517052994,0.0957908160645195,0.0971043865595774,0.0873942567090242,0.0599301440288848,0.0971043865595774,0.44,0.41,0.39
6003,0.013754436230497,0.0182148501266867,0.0154647343473765,0.0354681222799296,0.0562959893458615,0.0562959893458615,0.35,0.32,0.31
6005,0.0647443301652329,0.0729883210755742,0.0855020284807494,0.0874794249194972,0.0736703361591729,0.0874794249194972,0.42,0.39,0.37
6007,0.0630787095200222,0.0705528585788725,0.0772417712148881,0.0716017520379034,0.0526087000009975,0.0772417712148881,0.4,0.37,0.34
6009,0.0550886554176369,0.0621836652754702,0.0743951014556773,0.0787265459830275,0.0653929354740465,0.0787265459830275,0.4,0.37,0.35
6011,0.0478084910115467,0.0596571552070254,0.0749051627167823,0.0781518158296087,0.0618381878509228,0.0781518158296087,0.4,0.37,0.35
6013,0.0892272014642998,0.0952572793407378,0.0990269369284415,0.0889946602914267,0.0608398890232111,0.0990269369284415,0.45,0.41,0.39
6015,0.0485620756824948,0.0612260036028445,0.0722642643205964,0.068848932362126,0.0573675799507404,0.0722642643205964,0.38,0.36,0.33
6017,0.0640881686733805,0.0723067526809457,0.0816860001056817,0.0793831418148186,0.0581979540234216,0.0816860001056817,0.4,0.38,0.35
6019,0.0694797252945499,0.0760076440035561,0.0835759767356943,0.0817943435007542,0.0639213662962444,0.0835759767356943,0.41,0.38,0.36
6021,0.0677414233693474,0.0740011227462778,0.0821393714865609,0.0756951935808681,0.0619668429196777,0.0821393714865609,0.41,0.38,0.35
