process_method,method,curve_index,a_value,rep,flow_over_population,prevalence_peak,remaining_flow_pct,epp,unrestricted_flow,unrestricted_peak,isolation_peak,epp_max
31,pop_both_inverse,12,0.6,41,0.07960741884220074,87788.0,39.91038446289493,1294.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,12,0.6,42,0.07960741884220074,88707.0,39.91038446289493,2213.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,12,0.6,43,0.07960741884220074,88826.0,39.91038446289493,2332.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,12,0.6,44,0.07960741884220074,88514.0,39.91038446289493,2020.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,12,0.6,45,0.07960741884220074,88501.0,39.91038446289493,2007.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,12,0.6,46,0.07960741884220074,87710.0,39.91038446289493,1216.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,12,0.6,47,0.07960741884220074,87914.0,39.91038446289493,1420.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,12,0.6,48,0.07960741884220074,88479.0,39.91038446289493,1985.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,12,0.6,49,0.07960741884220074,88480.0,39.91038446289493,1986.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,0,0.12955399149829197,86727.0,64.95059988879443,233.32000000000698,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,1,0.12955399149829197,86123.0,64.95059988879443,-370.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,2,0.12955399149829197,85320.0,64.95059988879443,-1173.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,3,0.12955399149829197,86595.0,64.95059988879443,101.32000000000698,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,4,0.12955399149829197,85468.0,64.95059988879443,-1025.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,5,0.12955399149829197,85066.0,64.95059988879443,-1427.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,6,0.12955399149829197,85222.0,64.95059988879443,-1271.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,7,0.12955399149829197,87206.0,64.95059988879443,712.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,8,0.12955399149829197,86113.0,64.95059988879443,-380.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,9,0.12955399149829197,85601.0,64.95059988879443,-892.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,10,0.12955399149829197,85654.0,64.95059988879443,-839.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,11,0.12955399149829197,85381.0,64.95059988879443,-1112.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,12,0.12955399149829197,85334.0,64.95059988879443,-1159.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,13,0.12955399149829197,85586.0,64.95059988879443,-907.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,14,0.12955399149829197,86531.0,64.95059988879443,37.320000000006985,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,15,0.12955399149829197,85566.0,64.95059988879443,-927.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,16,0.12955399149829197,86214.0,64.95059988879443,-279.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,17,0.12955399149829197,85034.0,64.95059988879443,-1459.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,18,0.12955399149829197,85014.0,64.95059988879443,-1479.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,19,0.12955399149829197,85511.0,64.95059988879443,-982.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,20,0.12955399149829197,85482.0,64.95059988879443,-1011.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,21,0.12955399149829197,85005.0,64.95059988879443,-1488.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,22,0.12955399149829197,85652.0,64.95059988879443,-841.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,23,0.12955399149829197,85491.0,64.95059988879443,-1002.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,24,0.12955399149829197,85869.0,64.95059988879443,-624.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
